location|monthday|maxtemp|mintemp|rainfall
Sydney|2018-01-01|25.7|18.4|2.6
Sydney|2018-01-02|25.8|18.5|2.5
Sydney|2018-01-03|25.9|18.5|2.6
Sydney|2018-01-04|25.9|18.5|2.6
Sydney|2018-01-05|25.9|18.6|2.7
Sydney|2018-01-06|25.9|18.5|2.7
Sydney|2018-01-07|25.9|18.5|2.7
Sydney|2018-01-08|26.0|18.6|2.6
Sydney|2018-01-09|25.9|18.6|2.9
Sydney|2018-01-10|26.0|18.7|3.0
Sydney|2018-01-11|26.0|18.7|3.1
Sydney|2018-01-12|26.0|18.7|3.1
Sydney|2018-01-13|26.0|18.8|3.1
Sydney|2018-01-14|26.0|18.8|3.3
Sydney|2018-01-15|25.9|18.7|3.5
Sydney|2018-01-16|25.9|18.7|3.4
Sydney|2018-01-17|25.9|18.7|3.1
Sydney|2018-01-18|25.9|18.7|3.2
Sydney|2018-01-19|25.9|18.7|3.5
Sydney|2018-01-20|25.9|18.8|3.9
Sydney|2018-01-21|26.0|18.8|3.8
Sydney|2018-01-22|26.0|18.9|3.6
Sydney|2018-01-23|26.1|19.0|3.6
Sydney|2018-01-24|26.1|19.0|4.0
Sydney|2018-01-25|26.1|19.0|4.0
Sydney|2018-01-26|26.2|19.0|3.8
Sydney|2018-01-27|26.2|19.0|3.5
Sydney|2018-01-28|26.2|19.0|3.7
Sydney|2018-01-29|26.1|19.0|3.9
Sydney|2018-01-30|26.0|18.9|4.0
Sydney|2018-01-31|26.1|18.9|4.0
Sydney|2018-02-01|26.0|18.9|3.9
Sydney|2018-02-02|26.0|18.9|3.9
Sydney|2018-02-03|26.0|18.9|4.0
